sample_index,Researcher_id,Name,perceived_ethnicity,__ethnicity_confidence,__ethnicity_source,manual_label
85,6371448.0,Ikuko  Nakagaki,Asian,0.9985659718513488,demographicx,Asian
86,46379206.0,Fabrice  Morel,Black or African American,0.932574450969696,demographicx,White
87,30984060.0,Corrado  Comparotto,White,0.9335429668426514,demographicx,Black or African American
88,32860651.0,Crystal  Esau,Black or African American,0.9022146463394164,demographicx,Unknown
89,151735737.0,Sinem  Elmas,Unknown,0.0,unknown,Black or African American
90,3018770.0,Ramon  Noordeloos,Unknown,0.0,unknown,Black or African American
91,2027246533.0,Flavio  Lucignano,Hispanic or Latino,0.8853978514671326,demographicx,Hispanic or Latino
92,1475614971.0,Najat  M'Jid,Unknown,0.0,unknown,Black or African American
93,93535827.0,Rafie,Unknown,0.0,unknown,Unknown
94,34900382.0,Anna G. Holmes,Black or African American,0.5441686511039734,demographicx,White
95,134467591.0,Marcelo  Sachet,Hispanic or Latino,0.9898244738578796,demographicx,Hispanic or Latino
96,1992591535.0,Jorge I.  De la Torre,Hispanic or Latino,0.9754417538642884,demographicx,Hispanic or Latino
97,2309566.0,Minna  Pirhonen,White,0.7097638249397278,demographicx,White
98,51144025.0,Ayoub  Khalfaoui,Unknown,0.0,unknown,Unknown
99,40110979.0,Atsuyuki  Maeda,Asian,0.9988775849342346,demographicx,Asian
