sample_index,Researcher_id,Name,perceived_ethnicity,__ethnicity_confidence,__ethnicity_source
47,5689990.0,Ike  Lagunju,Black or African American,0.992099940776825,demographicx
48,144500972.0,Mariona  Cid,Hispanic or Latino,0.981247901916504,demographicx
49,117892384.0,Predrag  Simonovi,White,0.9732781052589417,demographicx
50,81682291.0,M. Billye Sankofa Waters,Black or African American,0.991187572479248,demographicx
51,90692112.0,Stanley  Schumann,White,0.7181223630905151,demographicx
52,88144140.0,Teresa  Radziejewska,White,0.6798426508903503,demographicx
53,3531640.0,Eghosa  Iyare,Black or African American,0.9977741837501526,demographicx
54,13732053.0,Mickael D. Tessier,White,0.8228775262832642,demographicx
55,144518496.0,J. A. Montoya,Hispanic or Latino,0.8970635533332825,demographicx
56,2475420.0,Henrik  Korsgaard,White,0.9103184342384338,demographicx
57,1411464735.0,Enrique  Navarro-Camba,Hispanic or Latino,0.9864524602890016,demographicx
58,9446782.0,Cyrille Le Royer,Black or African American,0.7060638666152954,demographicx
59,1441511368.0,Mohammed Y. Al-Fhady,Unknown,0.0,unknown
60,108160156.0,Celine Parreñas Shimizu,Asian,0.9937223792076112,demographicx
61,7578471.0,Tomas  Borgegård,Unknown,0.0,unknown
62,40371327.0,Mohnish  Pandey,Asian,0.9989088773727416,demographicx
63,51404650.0,M  Wang,Asian,0.9958750605583192,demographicx
64,39918020.0,Roland K Chiu,Asian,0.9867812991142272,demographicx
65,2107676.0,João Flávio Vieira de Vasconcellos,Hispanic or Latino,0.9845573902130128,demographicx
66,150914029.0,Abdol Hamid Nazari,Asian,0.9943133592605592,demographicx
67,1404980154.0,Raul  Fernandez-Rojas,Hispanic or Latino,0.9800927639007568,demographicx
68,80049620.0,Luque  Parra,Hispanic or Latino,0.982502818107605,demographicx
69,48008798.0,Cristina  Florean,Unknown,0.0,unknown
70,70907297.0,Chastity  Baccus,Hispanic or Latino,0.9307460188865662,demographicx
71,1410074347.0,Abdulameer E. Al-Saffar,Asian,0.7920782566070557,demographicx
72,50843861.0,Bhakti  Patil,Asian,0.9942657351493835,demographicx
73,1395833518.0,Devendra K.  Soni,Asian,0.9992596507072448,demographicx
74,102398944.0,Tibor K. Pog,Unknown,0.0,unknown
75,152715509.0,K  Deguchi,Asian,0.9984201192855836,demographicx
76,47221479.0,R  Porta,Hispanic or Latino,0.632098376750946,demographicx
77,21192660.0,Aletta  Norval,Black or African American,0.986254334449768,demographicx
78,21075884.0,Liliane  Derouet,Unknown,0.0,unknown
79,98607978.0,A. V. Bogdan,Asian,0.9963396787643432,demographicx
80,46551556.0,Roberto  Forero,Hispanic or Latino,0.9812262058258056,demographicx
81,73251375.0,Evelina  Amess,Unknown,0.0,unknown
82,145637498.0,Erik  Banks,Black or African American,0.5625892281532288,demographicx
83,2388958.0,Fabrice  Jacquet,Black or African American,0.951339602470398,demographicx
84,30156304.0,Vladimir  Privman,White,0.98919278383255,demographicx
85,6371448.0,Ikuko  Nakagaki,Asian,0.9985659718513488,demographicx
86,46379206.0,Fabrice  Morel,Black or African American,0.932574450969696,demographicx
87,30984060.0,Corrado  Comparotto,White,0.9335429668426514,demographicx
88,32860651.0,Crystal  Esau,Black or African American,0.9022146463394164,demographicx
89,151735737.0,Sinem  Elmas,Unknown,0.0,unknown
90,3018770.0,Ramon  Noordeloos,Unknown,0.0,unknown
91,2027246533.0,Flavio  Lucignano,Hispanic or Latino,0.8853978514671326,demographicx
92,1475614971.0,Najat  M'Jid,Unknown,0.0,unknown
93,93535827.0,Rafie,Unknown,0.0,unknown
94,34900382.0,Anna G. Holmes,Black or African American,0.5441686511039734,demographicx
95,134467591.0,Marcelo  Sachet,Hispanic or Latino,0.9898244738578796,demographicx
96,1992591535.0,Jorge I.  De la Torre,Hispanic or Latino,0.9754417538642884,demographicx
97,2309566.0,Minna  Pirhonen,White,0.7097638249397278,demographicx
98,51144025.0,Ayoub  Khalfaoui,Unknown,0.0,unknown
99,40110979.0,Atsuyuki  Maeda,Asian,0.9988775849342346,demographicx
